time,x,y,yaw
0,512.323,1069.674,-0.950296869936813
0.5,512.317166430348,1069.66937536458,-0.94811520837182
1,512.310339943948,1069.6647558264,-0.945933546806828
1.5,512.304520524094,1069.66014140863,-0.943751885241834
2,512.298708154013,1069.65553213437,-0.941570223676842
2.5,512.292902816864,1069.65092802669,-0.939388562111849
3,512.286104495739,1069.64632910861,-0.937206900546855
3.5,512.330023797349,1069.6665274817,-0.960477957240113
4,512.373862481494,1069.68567872297,-0.98374901393337
4.5,512.348534140997,1069.66015170553,-1.0768332407064
5,512.404241456979,1069.68782115956,-1.03320000940654
5.5,512.459090972625,1069.71545077312,-1.09428653322634
6,512.417378854662,1069.68886894071,-1.0768332407064
6.5,512.431508272409,1069.69178454195,-1.02447336314657
7,512.430354579934,1069.67802686742,-0.902300315506969
